filename,triplet1_eV,triplet2_eV,singlet1_eV,2T1_minus_S1,2T1_minus_T2,HOMO,LUMO
M2242e.log,2.9889,5.2118,5.3868,0.591,0.766,-0.3001,
M2239e.log,0.9363,1.9175,2.5898,-0.7172,-0.0449,-0.23779,
M2235e.log,-1.3652,1.4377,1.4382,-4.1686,-4.1681,-0.221,
M2222e.log,3.1498,3.7305,4.3248,1.9748,2.5691,-0.23334,
M2197e.log,0.9175,2.0866,2.7085,-0.8735,-0.2516,-0.24698,
M2194e.log,2.7618,3.6027,3.9479,1.5757,1.9209,-0.24619,
M2189e.log,4.976,5.4584,5.2052,4.7468,4.4936,-0.2353,
M2188e.log,1.216,2.1608,2.1821,0.2499,0.2712,-0.24345,
M2178e.log,1.7566,1.9687,2.3825,1.1307,1.5445,-0.26374,
M2165e.log,2.6895,2.9346,2.7533,2.6257,2.4444,-0.20298,
M2161e.log,0.6487,2.416,2.3579,-1.0605,-1.1186,-0.20745,
M2160e.log,2.769,3.6638,4.2852,1.2528,1.8742,-0.27325,
M2157e.log,5.7388,6.2354,6.5685,4.9091,5.2422,-0.29796,
M2150E.log,2.6642,3.4493,3.6231,1.7053,1.8791,-0.22166,
M2149E.log,3.4753,3.703,4.6311,2.3195,3.2476,-0.23052,
M2144E.log,1.2219,1.2714,2.6606,-0.2168,1.1724,-0.23629,
M2133E.log,3.3447,5.2496,5.258,1.4314,1.4398,-0.28428,
M2128E.log,3.3764,5.0813,5.1522,1.6006,1.6715,-0.22632,
M2115e.log,3.0681,3.5016,3.1936,2.9426,2.6346,-0.24386,
M2106e.log,0.931,2.0968,2.7192,-0.8572,-0.2348,-0.24171,
M2102e.log,3.6959,4.5732,5.2369,2.1549,2.8186,-0.27081,
M2092e.log,3.4209,4.8825,4.9501,1.8917,1.9593,-0.23681,
M2075e.log,2.8941,3.5568,4.0143,1.7739,2.2314,-0.26006,
M2068e.log,0.461,1.6716,1.9996,-1.0776,-0.7496,-0.25152,
M2064e.log,3.2548,3.847,4.5664,1.9432,2.6626,-0.25118,
M2058e.log,1.5136,1.8334,2.1353,0.8919,1.1938,-0.23117,
M2050e.log,5.8629,6.6136,7.4764,4.2494,5.1122,-0.33001,
M2038e.log,0.4736,1.6824,2.014,-1.0668,-0.7352,-0.25163,
M2034e.log,3.3913,4.1019,4.8151,1.9675,2.6807,-0.26609,
M2032e.log,2.6702,3.6754,3.9331,1.4073,1.665,-0.24262,
M2031e.log,2.9594,3.6813,3.8493,2.0695,2.2375,-0.25998,
M2026e.log,1.8222,2.3169,2.2855,1.3589,1.3275,-0.22115,
M2021e.log,2.3878,3.2147,3.8856,0.89,1.5609,-0.27508,
M2020e.log,1.9402,2.5222,2.8959,0.9845,1.3582,-0.25656,
M2017e.log,2.9374,5.2096,5.252,0.6228,0.6652,-0.29581,
M2011e.log,1.5399,3.3382,3.3426,-0.2628,-0.2584,-0.24219,
